GRD_CD,year,grade_id
BOPSM,2018,1
BOP,2018,2
BP,2018,3
BPS,2018,4
BP1,2018,5
BOP1,2018,6
OF1,2018,7
BOPSM1,2018,8
OF,2018,9
PF,2018,10
CD1,2018,11
D1,2018,12
BOPL,2018,13
D,2018,14
PD,2018,15
PD1,2018,16
PF1,2018,17
CD,2018,18
DUST,2018,19
OD,2018,20
GFBOP,2018,21
FOP,2018,22
BPSM,2018,23
RD,2018,24
FBOP,2018,25
GBOP,2018,26
BPSM1,2018,27
OPD,2018,28
GFOP,2018,29
TGFOP,2018,30
DUST1,2018,31
BPS1,2018,32
TGFOP1,2018,33
STGFOP,2018,34
BOPL1,2018,35
SFTGFOP,2018,36
HCWHOLELEAF,2018,37
GOF,2018,38
WHOLELEAF,2018,39
FOP1,2018,40
GOLDENTIPPY,2018,41
TGBOP,2018,42
SFTGBOP,2018,43
FBOPS,2018,44
GFBOP1,2018,45
MIXED TEA,2018,46
OP,2018,47
BOPSM GOLD,2018,48
BOP GOLD,2018,49
BP GOLD,2018,50
DUST GOLD,2018,51
CD GOLD,2018,52
OF GOLD,2018,53
PD GOLD,2018,54
CHURA,2018,55
FBOP1,2018,56
OBPS,2018,57
FTGFOP1,2018,58
FOF,2018,59
RD1,2018,60
MIXEDTEA,2018,61
BOPF,2018,62
FTGFOP (S),2018,63
TGOF,2018,64
GBOP S,2018,65
GBOP1,2018,66
BOP1(O),2018,67
GOF1,2018,68
BOP(O),2018,69
TGFOP(S),2018,70
SFTGFOP1,2018,71
TGOF S,2018,72
BPS(O),2018,73
BOP1O,2018,74
TFBOP,2018,75
CHD1,2018,76
OPD1,2018,77
OD1,2018,78
OPD(S),2018,79
FBOP(CL),2018,80
FTGFOP1(SPL)CL,2018,81
GBOP(CL),2018,82
TGFBOP,2018,83
GTGFOP1,2018,84
TGBOP1,2018,85
GOF(CH),2018,86
FTGFOP1CHSPLDEL,2018,87
TGBOP1(CHINA),2018,88
FTGFOP1(CL),2018,89
FTGFOP1(SPL)CH,2018,90
GOF(CLONAL),2018,91
SFTGFOP1(CH)EXC,2018,92
GBOP(SPL)CLONAL,2018,93
GBOP(CLONAL)SPL,2018,94
SUPER TWIST,2018,95
TGOF(CHINA),2018,96
STGBOP1(MUSK),2018,97
SFTGFOP1CLASMUS,2018,98
STGOF,2018,99
SFTGFOP1(CL)FLY,2018,100
STGBOP1,2018,101
SFTGFOP1(CH)CLA,2018,102
FTGFOP1 SPL CH,2018,103
FTGFOP1 TIPPY C,2018,104
TGBOP SPL CL,2018,105
FTGFOP1 CL MUSK,2018,106
TGOF1,2018,107
OCD,2018,108
FTGFOP1(CH),2018,109
FTGOF(CH),2018,110
FTGFOP(CLONAL),2018,111
FTGFOP,2018,112
TGBOP(CH),2018,113
BP1(SPL),2018,114
STGFOP1S,2018,115
STGFOP1,2018,116
GFOP(CL),2018,117
TGBOP(CL),2018,118
BOPS,2018,119
TGBOP SPL CH,2018,120
FTGFOP1 VINTAGE,2018,121
TGBOP(G/T),2018,122
SFTGFOP1(CH)SPL,2018,123
GTGFBOP,2018,124
STGFOP1(S),2018,125
TGOF(CL),2018,126
BP(SPL),2018,127
BPS(SPL),2018,128
FTGFOP1(CL)SPL,2018,129
GTGBOP,2018,130
TGFOP(CLONAL),2018,131
FBOP(CL)SPL,2018,132
FTGFOP1(MUSCAT),2018,133
TGBOP(CHINA),2018,134
SFTGFOP1(CL)EXC,2018,135
TGFOP(SPL),2018,136
FTGFOP1(G/T),2018,137
GFBOP(SPL),2018,138
GTGFOP,2018,139
GFBOP(S),2018,140
GFOP(SPL)CL,2018,141
STGBOP1(CL),2018,142
SFTGFOP1(CL),2018,143
TGBOP1(CLONAL),2018,144
LACHHASUPER,2018,145
TGFOP1(TIPPY),2018,146
SFTGFOP1(CH)FLY,2018,147
FTGFOP1 CL TIP,2018,148
FTGFOP1(CH)MUS,2018,149
FTGFOP1FLOWMUSK,2018,150
SFTGFOP1(CL)ENI,2018,151
FTGFOP1MOONLGHT,2018,152
TGFOPS,2018,153
TFBOP(CL),2018,154
GFOP1,2018,155
BOPSM(SPL),2018,156
TGBOP CH MUSK,2018,157
FTGFOP1 SPL CL,2018,158
GBOP(SM),2018,159
FBOP(SPECIAL),2018,160
FUJIANGREEN,2018,161
TGBOP(SPL),2018,162
PF(SPL),2018,163
FTGFOP1(CHINA),2018,164
FTGOF,2018,165
SFTGFOP1FLOWERY,2018,166
FTGBOP,2018,167
GFOP(S),2018,168
SFTGFOP1(SPL)CL,2018,169
FTGFOP(CL),2018,170
TGFOP(CL),2018,171
FOPCLONAL,2018,172
GOF(CH)SPL,2018,173
FTGBOPMUSK,2018,174
SFTGFOP1(SPL),2018,175
TGBOP(CLONAL),2018,176
SFTGFOP1KKRAMSK,2018,177
GFBOPS,2018,178
SFTGFOP1 THUNDE,2018,179
FOPGOLD,2018,180
LACHHA,2018,181
STGFOP SPL,2018,182
FTGFOP1(CH)MUSK,2018,183
TGFOP1(CL),2018,184
FBOP(S),2018,185
TGFOP1(CLONAL),2018,186
SFTGFOP1CHSUPRM,2018,187
SFTGFOP1(CH)MUS,2018,188
TGOF MUSK,2018,189
PD(SPL),2018,190
SFTGFOP1CLMUSK,2018,191
MOGRA,2018,192
SUPER FINE,2018,193
TGFBOP(CLONAL),2018,194
OP1,2018,195
SFTGFOP1(MUSK),2018,196
FTGFOP1(CL)MUSK,2018,197
STGBOP1(SPL),2018,198
BPS(CLO),2018,199
SFTGFOP1(CHINA),2018,200
TGBOP(MUSK),2018,201
GBOP(S),2018,202
SFTGFOP1 KAKRA,2018,203
GBOPSM,2018,204
SFTGFOP1CLQUEEN,2018,205
TGOF(CLONAL),2018,206
SFTGFOP1(WIRY),2018,207
GFBOP(CL),2018,208
TGFOP1(SPL),2018,209
TGBOP(CH)SPL,2018,210
SFTGFOP1(VIN)MU,2018,211
SFTGFOP1KKRAFN,2018,212
FTGFOP1FLOWERY,2018,213
GTGBOP(CLONAL),2018,214
MOGRA I,2018,215
TGBOP(SPL)CL,2018,216
SFTGFOP1(CH)FIN,2018,217
SFTGFOP1(CL)PRE,2018,218
TGBOP1(CH),2018,219
SFTGFOP1(CL)WON,2018,220
TFBOP(CLONAL),2018,221
TFBOP(SPECIAL),2018,222
GFOP(CLONAL),2018,223
TOF,2018,224
PD(FINE),2018,225
FBOP(TIPPY),2018,226
SUPERMOGRA,2018,227
HYSON,2018,228
FTGBOP(CLONAL),2018,229
TGFOP1(SPL)CL,2018,230
TGFBOP1(CL),2018,231
SFTGFOP1CLDELIG,2018,232
BOPF1,2018,233
STGFOP(SPL)CL,2018,234
GOF(S),2018,235
SFTGFOP1KKRA,2018,236
SFTGFOP1CLASSIC,2018,237
TGFBOP(SPL),2018,238
GOF(SPL)CL,2018,239
PF1(SPL),2018,240
FTGFOP(SPL),2018,241
SFTGFOP1(CL)CLA,2018,242
TGOF(S),2018,243
FOP(S),2018,244
FTGFOP1(SPL),2018,245
GBOPS,2018,246
STGFOP1(SPL),2018,247
OPS,2018,248
FTGFOP1MUSK,2018,249
FTGFOP1(OOLONG),2018,250
OOLONG,2018,251
SFTGFOP1TIPCLA,2018,252
SFTGFOP1CLTHUND,2018,253
D(F),2018,254
FTGFOP1(FINE),2018,255
FBOP1(SPL),2018,256
FTGFOP1HIMMUSK,2018,257
SFTGFOP1HIMENIG,2018,258
SFTGFOP1GOLD,2018,259
MASDANA,2018,260
FANNINGS,2018,261
BOP(L),2018,262
CHU,2018,263
TGFBOP(CL),2018,264
BOP(SPL),2018,265
CHD,2018,266
GFBOP(TIPY),2018,267
PD1(SPL),2018,268
D1(SPL),2018,269
FTGFOP1(CH)CLA,2018,270
FTGFOP1 CLASSIC,2018,271
BPS(CL),2018,272
FINE,2018,273
FTGFBOP(CL),2018,274
D(SPL),2018,275
SFTGFOP1(CH),2018,276
MOONLIGHTWHITE,2018,277
IMPERIALOOLONG,2018,278
FTGFOP(TIPPY),2018,279
SFTGFOP1WRYMSK,2018,280
GFOPS,2018,281
BPSO,2018,282
FTGFOP1CLCLASSI,2018,283
TGFOP(TIPPY),2018,284
FOF(CL),2018,285
MOGRAII,2018,286
GTGFOP1(CL),2018,287
FTGFOP1MOONLIGH,2018,288
GBOP(SPL),2018,289
SBP,2018,290
FTGOF SPL CH,2018,291
TGFOP1(S),2018,292
SFTGFOP1MOONDRO,2018,293
FOF(CLONAL),2018,294
SFTGFOP1FLOMUSK,2018,295
TGFOP(G/T),2018,296
TGOF(G/T),2018,297
BOPF(SPL),2018,298
MOGRA1/II(F),2018,299
MOGRA I SUPERFI,2018,300
BPL,2018,301
TGBOP1(MUSK),2018,302
SFTGFOP1TIPMUSK,2018,303
FTGFOP1(TIPPY),2018,304
FTGFOP1CLWONDER,2018,305
SFTGFOP(MUSK),2018,306
GFOP1(CLONAL),2018,307
TGBOP1(CL),2018,308
FOP(SPL),2018,309
GFBOP(C),2018,310
GFOP(SPL),2018,311
MOGRAI/II,2018,312
TFBOP SPL,2018,313
FTGFOP1CLEMPERO,2018,314
TGOF(CL)MUSK,2018,315
SFTGFOP1MUSWOND,2018,316
TGFBOP(TIPY),2018,317
TGFBOP1(CLONAL),2018,318
TGFBOP(SPL-CL),2018,319
BOPSM1(SPL),2018,320
FOP(CL),2018,321
TGBOP(CLO)TIPPY,2018,322
GBOPF,2018,323
TGBOP1(SPL-CL),2018,324
FTGOF SPL CL,2018,325
TGFBOP(CL)SPL,2018,326
BPS(C),2018,327
TGFOP(CL)SPL,2018,328
TGBOP(TIPY),2018,329
BPS(MUSK),2018,330
